POPULATION;NOIND;conso_gpe1;conso_gpe2;conso_gpe3;conso_gpe4;conso_gpe5;conso_gpe6;conso_gpe7;conso_gpe8;conso_gpe9;conso_gpe10;conso_gpe11;conso_gpe12;conso_gpe13;conso_gpe14;conso_gpe15;conso_gpe16;conso_gpe17;conso_gpe18;conso_gpe19;conso_gpe20;conso_gpe21;conso_gpe22;conso_gpe23;conso_gpe24;conso_gpe25;conso_gpe26;conso_gpe27;conso_gpe28;conso_gpe29;conso_gpe30;conso_gpe31;conso_gpe32;conso_gpe33;conso_gpe34;conso_gpe35;conso_gpe36;conso_gpe37;conso_gpe38;conso_gpe39;conso_gpe40;conso_gpe41;conso_gpe42;conso_gpe43;conso_gpe44
Pop3;124401801;183.14285;0;0;157.85715;0;21.428572;0;125;0;29.676193;0;12.285715;9.1714287;0;57.14286;59.238861;32.142857;0;0;0;46.57143;0;76.428574;125.87143;0;0;0;0;0;460;0;145.59999;0;608.6333;0;0;0;0;0;60.285717;14.857143;0;0;0
Pop3;124402201;0;0;0;164;0;16;195;168.55624;0;30;0;6.125;2.8;0;0;0;84.75;67.5;0;0;167.5;0;35;41.580002;0;0;0;5;78.75;208.75;0;0;0;0;0;50;0;0;0;0;6;0;0;0
Pop3;124402701;47.377144;0;5.7142863;131.42857;0;0;0;44.642857;0;28.571432;0;5.3571424;2.9285715;0;22.857145;49.5;0;0;0;0;74.142853;0;89.14286;196.25293;0;0;0;0;0;537.32141;0;257.49283;0;0;88.495247;0;0;0;0;75.35714;73.853569;0;0;0
Pop3;124403001;14.964287;21.428572;0;2.8571432;0;36.17857;77.142853;121.42857;21.285715;0;0;6.7578979;6.7992144;7.142858;0;45.857143;3.571429;57.142857;0;0;190.45;0;34.285713;59.857147;141.42856;0;26.428572;19.492191;47.142864;600;46.635715;29.714289;2.1428573;257.62857;173.14285;0;0;21.714287;0;5.5500007;14.857143;0;0;0
Pop3;124403401;191.12099;0;0;0;0;108.92857;0;44.642857;20.000002;82.499992;13.765717;14.24515;0;0;60.471436;0;0;101.78571;0;0;170.87621;0;171.42859;198.58429;0;6.8571434;21.42857;50.277737;0;527.14282;0;181.99998;0;432.28;0;0;0;96.785713;0;122.26181;0;0;0;0
Pop3;124403501;15.15;0;8.0357141;39.285713;0;72.375;0;160.26785;0;44.642857;22.97143;.55553573;2.54404;14.285716;63.410713;0;57.142853;26.499998;0;0;121.15714;42.499996;4.9923191;95.928566;42.857143;0;4.4571433;10.050001;295.71429;369.64285;0;162.31429;0;0;0;0;9.7142868;0;107.14285;52.857147;18.928572;0;0;0
Pop3;124403801;11.307144;0;0;314.42856;0;99.180954;88.285706;31.428574;1.0000001;157.14285;0;2.3;5.3000002;0;0;0;21.142859;8.5714293;0;50.714283;0;0;35.714291;4.0285716;0;0;54.614872;.64285719;0;670;48.857147;124.8;0;418.53714;0;4.8571434;6.5714288;0;0;.5714286;11.357142;0;0;0
Pop3;124404301;0;0;0;79.285713;0;211.42857;0;0;0;35.714283;0;0;0;0;42.549999;17.5;21.428572;0;0;0;21.428572;0;0;139.63928;0;0;0;1.6071428;0;142.85713;34.628574;206.51428;0;0;0;0;0;0;107.14285;30.000002;8.1428566;0;0;0
Pop3;124404401;21.160715;0;0;8.9285707;0;26.285715;181.08;169.21428;0;117.85715;0;.028571429;0;0;14.285713;0;18.214285;0;0;0;13.142858;54.000004;0;0;132.14285;0;0;0;0;78.571434;0;0;0;0;0;0;0;131.07143;0;0;0;0;71.428566;0
Pop3;124500501;40.44857;0;31.535711;27.14286;0;61.788837;139.78571;0;29.642857;71.428566;19.142857;7.3071427;1.5714284;0;39.285713;0;14.285713;31.428574;0;0;102.05357;26.785713;0;237.19499;82.142853;0;3.0000002;11.485715;0;463.57144;161.625;237.71429;0;0;0;0;0;28.571426;259.64285;0;36.371429;0;0;0
Pop3;124501001;9;0;0;100.64286;0;26.614286;0;144.64287;39.285713;0;0;0;1.6964284;14.285716;73.214287;0;0;33.92857;0;0;31.142855;0;10.714286;0;132.14285;0;2.5;0;0;325.08929;20.357141;0;0;339.76288;108.21429;0;0;0;60.857147;0;0;0;0;0
Pop3;124501601;40.17857;0;9.4285727;44.428574;0;70.625;338.35712;42.857147;14.285713;0;0;10.853222;.28571427;0;0;0;6.25;0;0;0;13.571427;0;32.857143;0;0;0;17.678572;0;85.714294;324.10715;0;0;0;0;0;28.571426;0;0;0;47.339287;3.6428571;0;0;0
Pop3;124800201;49.910709;0;0;99.285713;0;42.14286;44.142853;0;17.857141;0;0;3.6857147;.63472492;0;0;0;33.571426;0;0;0;99.617775;0;0;62.935715;0;0;16.357141;0;0;605.71423;147.5;52;0;0;0;0;132.35715;0;96.071434;23.936012;42.857143;0;0;0
Pop3;124800301;204.3;0;0;144.28571;0;121.07143;0;0;49.64286;57.142853;15.792857;11.37395;.61199993;0;0;87.028564;19.357143;66.071426;0;28.571432;39.285713;0;67.5;53.460003;28.571432;0;10.178572;0;0;1402.8572;0;0;0;306.42624;0;0;19.642857;0;21.785713;0;1.2857143;0;0;0
Pop3;124900201;45.785709;0;3.5714283;25.25;0;25.142859;0;103.57143;20;0;0;.28571427;0;0;14.285713;3.5714283;12.5;0;7.1428566;0;75.114281;0;0;7.4249997;61.42857;0;5;0;0;533.92859;79.285713;0;0;406.03;0;25.714287;0;0;0;5.1785717;17.142859;0;46.42857;0
Pop3;124900901;56.597324;0;7.1428566;0;0;49.274143;88.285706;80.357147;5.7142863;33.42857;0;2.2992857;0;0;24;0;28.571426;0;0;0;44.285709;0;0;69.507141;28.571432;0;11.427055;44.109402;0;333.4375;0;95.874992;57.714283;90.999992;0;0;0;0;178.57143;186.73653;10.964285;0;0;0
Pop3;124901201;9.8392849;0;0;66.071426;0;144.93571;0;0;5.7142863;0;0;12.142857;11.864285;0;0;56.42857;31.142855;0;0;0;0;42.499996;157.22858;0;107.14285;0;69.920464;0;0;470.08929;323.21426;265.57141;285.71432;265.03427;0;121.78571;0;0;0;6.8571434;8.5714283;0;0;0
Pop3;124901401;30.071426;0;0;6.1071429;0;2.7;0;0;20.357141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73.214287;0;0;0;0;43.928574;0;0;0;0;0;0;0;0;0;.35714284;0;0;435;312.30997
Pop3;124902401;350.10001;0;38.57143;59.842854;0;95;260.93335;169.64285;31.071428;28.571432;0;5.0202289;10.714286;12.857143;92.285713;36.154285;52.142857;0;0;0;0;0;89.285713;0;0;0;0;8.3571424;0;684.82141;0;123.40714;0;0;0;0;0;0;0;0;0;0;0;0
Pop3;124902601;26.999998;0;41.428574;25.357141;0;49.017857;0;0;14.285713;153.05804;0;6.3422031;0;0;28.414289;37.619999;3.5714283;0;0;28.571426;158.54767;0;0;18.15;0;0;58.677025;0;0;126.66667;0;18.81905;0;310.82095;109.52381;0;18.214285;0;36.42857;70.142853;0;0;0;0
