POPULATION;NOIND;periode_reference;conso_ca;conso_ca_regl;conso_ca_nb;conso_ca_regl_nb;indic_ca;indic_medic;indic_ni;saison_particuliere;saison_automne;saison_hiver;saison_printemps;saison_ete;saison_autre;saison_autre_libelle;saison_nsp
Pop1 Individu;111601201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111701201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112101001;4;1;1;1;1;1;0;0;1;1;1;1;1;;                                                            ;
Pop1 Individu;112101401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112101601;4;1;1;5;5;4;1;0;1;1;;;;;                                                            ;
Pop1 Individu;112102101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112102201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112103601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112200201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112200301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112201701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112202501;4;1;1;2;2;0;1;1;1;;1;;;;                                                            ;
Pop1 Individu;112400201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112400301;4;1;1;1;1;1;0;0;1;1;1;;;;                                                            ;
Pop1 Individu;112400901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112401101;4;1;2;1;;0;1;0;1;1;1;;;;                                                            ;
Pop1 Individu;112401201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112401501;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;112401601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112500201;4;1;1;2;2;2;0;0;1;1;;1;;;                                                            ;
Pop1 Individu;112500301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112500501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112500701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112500801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112501501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112501601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112502201;4;1;1;1;1;1;0;0;1;;1;1;;;                                                            ;
Pop1 Individu;112502301;4;1;2;1;;0;1;0;1;;;1;;;                                                            ;
Pop1 Individu;112503801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112503901;4;1;2;1;;0;1;0;2;;;;;;                                                            ;
Pop1 Individu;112504201;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;112504401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112504601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112504801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112505001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112506101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112506201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112506301;4;1;2;2;;0;2;0;2;;;;;;                                                            ;
Pop1 Individu;112506501;4;1;1;1;1;0;0;1;1;;1;;;;                                                            ;
Pop1 Individu;112506801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112700401;4;1;1;2;2;1;1;0;1;1;1;;;;                                                            ;
Pop1 Individu;112700901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112701001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112701901;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;112702001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112702101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112702801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112703501;4;1;1;1;1;1;0;0;1;1;;1;;;                                                            ;
Pop1 Individu;112703901;4;1;2;1;;0;1;0;1;1;;;;;                                                            ;
Pop1 Individu;112800201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112800301;4;1;1;1;1;0;0;1;2;;;;;;                                                            ;
Pop1 Individu;112800501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112901201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112901301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112902001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112902101;4;1;1;1;1;0;0;1;1;1;;;;;                                                            ;
Pop1 Individu;112903201;4;1;1;1;1;1;0;0;1;;1;;;;                                                            ;
Pop1 Individu;112903601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112903701;4;1;1;1;1;1;0;0;1;1;;;;;                                                            ;
